,MasterGame,Team1,Team2,T1S,T1G,T1B,T2S,T2G,T2B,venue,localtime,round,is_final,year,T1SS,T2SS,ssmargin,Own_Game_Number,Opp_Game_Number,date,Margin,T1_Days_Since_Last_Game,T2_Days_Since_Last_Game,T1_Xscore,T2_Xscore,T1_Game_at_Venue,T2_Game_at_Venue,T1status,T2status,Previous_Own_Orating,Previous_Own_Drating,Previous_Opp_Orating,Previous_Opp_Drating,New_Own_Orating,New_Own_Drating,New_Opp_Orating,New_Opp_Drating,Expected_Margin,Win_Prob
0,1,Collingwood,Fremantle,46,5,16,116,17,14,Docklands,2014-03-14 19:50:00,1,0,2014,21,31,10,1,1,2014-03-14 19:50:00,-70,,,57.07,117.62,1,1,Home,Away,0.0,0.0,0.0,0.0,-26.07,-26.89,26.89,26.07,0.0,0.5
1,1,Fremantle,Collingwood,116,17,14,46,5,16,Docklands,2014-03-14 19:50:00,1,0,2014,31,21,10,1,1,2014-03-14 19:50:00,70,,,117.62,57.07,1,1,Away,Home,0.0,0.0,0.0,0.0,26.89,26.07,-26.07,-26.89,0.0,0.5
2,2,Sydney,Greater Western Sydney,67,9,13,99,15,9,Sydney Showground,2014-03-15 16:40:00,1,0,2014,22,24,2,1,1,2014-03-15 16:40:00,-32,,,63.61,90.57,1,1,Away,Home,0.0,0.0,0.0,0.0,-20.35,-3.23,3.23,20.35,0.0,0.5
3,2,Greater Western Sydney,Sydney,99,15,9,67,9,13,Sydney Showground,2014-03-15 16:40:00,1,0,2014,24,22,2,1,1,2014-03-15 16:40:00,32,,,90.57,63.61,1,1,Home,Away,0.0,0.0,0.0,0.0,3.23,20.35,-20.35,-3.23,0.0,0.5
4,3,Gold Coast,Richmond,87,12,15,69,10,9,Carrara,2014-03-15 18:55:00,1,0,2014,27,19,8,1,1,2014-03-15 19:55:00,18,,,101.72,69.94,1,1,Home,Away,0.0,0.0,0.0,0.0,12.98,14.82,-14.82,-12.98,0.0,0.5
5,3,Richmond,Gold Coast,69,10,9,87,12,15,Carrara,2014-03-15 18:55:00,1,0,2014,19,27,8,1,1,2014-03-15 19:55:00,-18,,,69.94,101.72,1,1,Away,Home,0.0,0.0,0.0,0.0,-14.82,-12.98,12.98,14.82,0.0,0.5
6,4,Carlton,Port Adelaide,87,12,15,120,18,12,Docklands,2014-03-16 19:40:00,1,0,2014,27,30,3,1,1,2014-03-16 19:40:00,-33,,,92.81,113.0,1,1,Home,Away,0.0,0.0,0.0,0.0,5.19,-22.84,22.84,-5.19,0.0,0.5
7,4,Port Adelaide,Carlton,120,18,12,87,12,15,Docklands,2014-03-16 19:40:00,1,0,2014,30,27,3,1,1,2014-03-16 19:40:00,33,,,113.0,92.81,1,1,Away,Home,0.0,0.0,0.0,0.0,22.84,-5.19,5.19,-22.84,0.0,0.5
8,5,Geelong,Adelaide,119,18,11,81,12,9,GMHBA Stadium,2014-03-20 19:10:00,1,0,2014,29,21,8,1,1,2014-03-20 19:10:00,38,,,112.17,70.26,1,1,Home,Away,0.0,0.0,0.0,0.0,22.12,14.54,-14.54,-22.12,0.0,0.5
9,5,Adelaide,Geelong,81,12,9,119,18,11,GMHBA Stadium,2014-03-20 19:10:00,1,0,2014,21,29,8,1,1,2014-03-20 19:10:00,-38,,,70.26,112.17,1,1,Away,Home,0.0,0.0,0.0,0.0,-14.54,-22.12,22.12,14.54,0.0,0.5
10,6,Essendon,North Melbourne,99,15,9,60,9,6,Docklands,2014-03-21 19:50:00,1,0,2014,24,15,9,1,1,2014-03-21 19:50:00,39,,,91.81,44.75,1,1,Away,Home,0.0,0.0,0.0,0.0,4.31,36.85,-36.85,-4.31,0.0,0.5
11,6,North Melbourne,Essendon,60,9,6,99,15,9,Docklands,2014-03-21 19:50:00,1,0,2014,15,24,9,1,1,2014-03-21 19:50:00,-39,,,44.75,91.81,1,1,Home,Away,0.0,0.0,0.0,0.0,-36.85,-4.31,4.31,36.85,0.0,0.5
12,7,Brisbane Lions,Hawthorn,91,13,13,139,21,13,University of Tasmania Stadium,2014-03-22 16:40:00,1,0,2014,26,34,8,1,1,2014-03-22 16:40:00,-48,,,92.13,126.02,1,1,Away,Home,0.0,0.0,0.0,0.0,4.59,-34.23,34.23,-4.59,0.0,0.5
13,7,Hawthorn,Brisbane Lions,139,21,13,91,13,13,University of Tasmania Stadium,2014-03-22 16:40:00,1,0,2014,34,26,8,1,1,2014-03-22 16:40:00,48,,,126.02,92.13,1,1,Home,Away,0.0,0.0,0.0,0.0,34.23,-4.59,4.59,-34.23,0.0,0.5
14,8,Melbourne,St Kilda,51,6,15,68,10,8,Docklands,2014-03-22 19:40:00,1,0,2014,21,18,3,1,1,2014-03-22 19:40:00,-17,,,61.91,59.29,1,1,Away,Home,0.0,0.0,0.0,0.0,-21.84,24.13,-24.13,21.84,0.0,0.5
15,8,St Kilda,Melbourne,68,10,8,51,6,15,Docklands,2014-03-22 19:40:00,1,0,2014,18,21,3,1,1,2014-03-22 19:40:00,17,,,59.29,61.91,1,1,Home,Away,0.0,0.0,0.0,0.0,-24.13,21.84,-21.84,24.13,0.0,0.5
16,9,Western Bulldogs,West Coast,69,11,3,134,21,8,Subiaco,2014-03-23 16:40:00,1,0,2014,14,29,15,1,1,2014-03-23 19:40:00,-65,,,56.22,114.13,1,1,Away,Home,0.0,0.0,0.0,0.0,-26.82,-23.83,23.83,26.82,0.0,0.5
17,9,West Coast,Western Bulldogs,134,21,8,69,11,3,Subiaco,2014-03-23 16:40:00,1,0,2014,29,14,15,1,1,2014-03-23 19:40:00,65,,,114.13,56.22,1,1,Home,Away,0.0,0.0,0.0,0.0,23.83,26.82,-26.82,-23.83,0.0,0.5
18,10,Carlton,Richmond,86,12,14,98,14,14,M.C.G.,2014-03-27 19:45:00,2,0,2014,26,28,2,2,2,2014-03-27 19:45:00,-12,11.0,11.0,89.06,87.53,1,1,Away,Home,5.19,-22.84,-14.82,-12.98,-0.1,-20.27,-17.39,-7.7,5.07,0.53
19,10,Richmond,Carlton,98,14,14,86,12,14,M.C.G.,2014-03-27 19:45:00,2,0,2014,28,26,2,2,2,2014-03-27 19:45:00,12,11.0,11.0,87.53,89.06,1,1,Home,Away,-14.82,-12.98,5.19,-22.84,-17.39,-7.7,-0.1,-20.27,-5.07,0.47
20,11,Hawthorn,Essendon,90,13,12,86,12,14,Docklands,2014-03-28 19:50:00,2,0,2014,25,26,1,2,2,2014-03-28 19:50:00,4,6.0,7.0,92.71,81.16,1,2,Away,Home,34.23,-4.59,4.31,36.85,39.69,3.19,-3.47,31.39,-5.76,0.47
21,11,Essendon,Hawthorn,86,12,14,90,13,12,Docklands,2014-03-28 19:50:00,2,0,2014,26,25,1,2,2,2014-03-28 19:50:00,-4,7.0,6.0,81.16,92.71,2,1,Home,Away,4.31,36.85,34.23,-4.59,-3.47,31.39,39.69,3.19,5.76,0.53
22,12,Greater Western Sydney,St Kilda,88,13,10,95,15,5,Docklands,2014-03-29 13:40:00,2,0,2014,23,20,3,2,2,2014-03-29 13:40:00,-7,13.0,6.0,84.8,70.43,1,2,Away,Home,3.23,20.35,-24.13,21.84,8.75,15.92,-19.7,16.31,12.94,0.57
23,12,St Kilda,Greater Western Sydney,95,15,5,88,13,10,Docklands,2014-03-29 13:40:00,2,0,2014,20,23,3,2,2,2014-03-29 13:40:00,7,6.0,13.0,70.43,84.8,2,1,Home,Away,-24.13,21.84,3.23,20.35,-19.7,16.31,8.75,15.92,-12.94,0.43
24,13,Port Adelaide,Adelaide,127,19,13,73,11,7,Adelaide Oval,2014-03-29 16:15:00,2,0,2014,32,18,14,2,2,2014-03-29 16:45:00,54,12.0,8.0,115.72,58.35,1,1,Home,Away,22.84,-5.19,-14.54,-22.12,27.71,13.06,-32.79,-26.98,27.16,0.64
25,13,Adelaide,Port Adelaide,73,11,7,127,19,13,Adelaide Oval,2014-03-29 16:15:00,2,0,2014,18,32,14,2,2,2014-03-29 16:45:00,-54,8.0,12.0,58.35,115.72,1,1,Away,Home,-14.54,-22.12,22.84,-5.19,-32.79,-26.98,27.71,13.06,-27.16,0.36
26,14,Fremantle,Gold Coast,87,12,15,39,5,9,Subiaco,2014-03-29 16:40:00,2,0,2014,27,14,13,2,2,2014-03-29 19:40:00,48,14.0,13.0,87.8,46.76,1,1,Home,Away,18.82,18.25,12.98,14.82,17.99,46.93,-15.7,15.65,4.64,0.52
27,14,Gold Coast,Fremantle,39,5,9,87,12,15,Subiaco,2014-03-29 16:40:00,2,0,2014,14,27,13,2,2,2014-03-29 19:40:00,-48,13.0,14.0,46.76,87.8,1,1,Away,Home,12.98,14.82,18.82,18.25,-15.7,15.65,17.99,46.93,-4.64,0.48
28,15,Sydney,Collingwood,69,10,9,89,12,17,Stadium Australia,2014-03-29 19:40:00,2,0,2014,19,29,10,2,2,2014-03-29 19:40:00,-20,14.0,14.0,69.96,86.33,1,1,Home,Away,-20.35,-3.23,-18.25,-18.82,-32.71,-8.55,-12.93,-6.46,6.75,0.54
29,15,Collingwood,Sydney,89,12,17,69,10,9,Stadium Australia,2014-03-29 19:40:00,2,0,2014,29,19,10,2,2,2014-03-29 19:40:00,20,14.0,14.0,86.33,69.96,1,1,Away,Home,-18.25,-18.82,-20.35,-3.23,-12.93,-6.46,-32.71,-8.55,-6.75,0.46
30,16,Geelong,Brisbane Lions,93,13,15,68,10,8,Gabba,2014-03-30 12:10:00,2,0,2014,28,18,10,2,2,2014-03-30 13:10:00,25,9.0,7.0,94.26,58.86,1,1,Away,Home,22.12,14.54,4.59,-34.23,6.21,32.17,-13.04,-18.32,33.15,0.67
31,16,Brisbane Lions,Geelong,68,10,8,93,13,15,Gabba,2014-03-30 12:10:00,2,0,2014,18,28,10,2,2,2014-03-30 13:10:00,-25,7.0,9.0,58.86,94.26,1,1,Home,Away,4.59,-34.23,22.12,14.54,-13.04,-18.32,6.21,32.17,-33.15,0.33
32,17,Melbourne,West Coast,30,4,6,123,18,15,M.C.G.,2014-03-30 15:20:00,2,0,2014,10,33,23,2,2,2014-03-30 15:20:00,-93,7.0,6.0,34.31,107.55,1,1,Home,Away,-21.84,24.13,23.83,26.82,-43.45,8.21,39.76,48.42,-24.18,0.38
33,17,West Coast,Melbourne,123,18,15,30,4,6,M.C.G.,2014-03-30 15:20:00,2,0,2014,33,10,23,2,2,2014-03-30 15:20:00,93,6.0,7.0,107.55,34.31,1,1,Away,Home,23.83,26.82,-21.84,24.13,39.76,48.42,-43.45,8.21,24.18,0.62
